date,clf_name,version,comment,filename,colnames
2018-09-29 14:23:05,small clf,1,a test of the new system,f_clf.RandomForestClassifier,"['ExpectedResult', 'FTG_3', 'FTG_5']"
2018-09-29 14:36:49,small clf,1,a test of the new system,f_clf.RandomForestClassifier,"['ExpectedResult', 'FTG_3', 'FTG_5']"
2018-10-08 23:08:16,small clf,1,a test of the new system,f_clf_dev.RandomForestClassifier,"['ExpectedResult', 'FTG_3', 'FTG_5']"
2018-10-14 17:10:44,betting clf,1,using odds to predict,odds_clf_dev.RandomForestClassifier,"['ExpectedResult', 'FTG_3', 'FTG_5', 'HomeOdds', 'DrawOdds', 'AwayOdds']"
2018-10-14 17:22:00,betting clf,1,using odds to predict,odds_clf_dev.RandomForestClassifier,"['ExpectedResult', 'FTG_3', 'FTG_5', 'HomeOdds', 'DrawOdds', 'AwayOdds']"
2018-11-01 10:05:18,betting clf_1.1,1,using odds to predict,odds_clf_dev.RandomForestClassifier,"['ExpectedResult', 'FTG_3', 'FTG_5', 'HomeOdds', 'DrawOdds', 'AwayOdds']"
2018-11-19 15:22:09,betting clf_2.0,1,using odds and better CV,odds_clf_dev2.RandomForestClassifier,"['ExpectedResult', 'FTG_3', 'FTG_5', 'HomeOdds', 'DrawOdds', 'AwayOdds']"
2018-11-20 09:47:26,betting clf_2.1,1,fixed AVG goal records,odds_clf_dev2.RandomForestClassifier,"['ExpectedResult', 'FTG_3', 'FTG_5', 'HomeOdds', 'DrawOdds', 'AwayOdds']"
2018-11-27 15:32:11,betting clf_2.2,1,fixed AVG goal records (again),odds_clf_dev2.RandomForestClassifier,"['ExpectedResult', 'FTG_3', 'FTG_5', 'HomeOdds', 'DrawOdds', 'AwayOdds']"
