237,2018-10-20,Huddersfield Town,Liverpool,W,1.33,10.0
370,2018-10-20,Wolverhampton Wanderers,Watford,W,1.75,4.5
724,2018-10-20,West Ham United,Tottenham Hotspur,L,3.9,1.85
1180,2018-10-20,Chelsea,Manchester United,L,4.8,1.75
1294,2018-10-20,Manchester City,Burnley,W,1.08,23.0
1771,2018-10-20,Newcastle United,Brighton & Hove Albion,W,2.2,3.5
2015,2018-10-20,Cardiff City,Fulham,W,2.8,2.4
237,2018-10-20,Huddersfield Town,Liverpool,W,1.33,10.0
370,2018-10-20,Wolverhampton Wanderers,Watford,W,1.75,4.5
724,2018-10-20,West Ham United,Tottenham Hotspur,L,3.9,1.85
1180,2018-10-20,Chelsea,Manchester United,L,4.8,1.75
1294,2018-10-20,Manchester City,Burnley,W,1.08,23.0
1771,2018-10-20,Newcastle United,Brighton & Hove Albion,W,2.2,3.5
2015,2018-10-20,Cardiff City,Fulham,W,2.8,2.4
237,2018-10-20,Huddersfield Town,Liverpool,W,1.33,10.0
370,2018-10-20,Wolverhampton Wanderers,Watford,W,1.75,4.5
724,2018-10-20,West Ham United,Tottenham Hotspur,L,3.9,1.85
1180,2018-10-20,Chelsea,Manchester United,L,4.8,1.75
1294,2018-10-20,Manchester City,Burnley,W,1.08,23.0
1771,2018-10-20,Newcastle United,Brighton & Hove Albion,W,2.2,3.5
2015,2018-10-20,Cardiff City,Fulham,W,2.8,2.4
229,2018-10-20,AFC Bournemouth,Southampton,L,3.6,2.0
359,2018-10-20,Huddersfield Town,Liverpool,W,1.33,10.0
492,2018-10-20,Wolverhampton Wanderers,Watford,W,1.75,4.5
846,2018-10-20,West Ham United,Tottenham Hotspur,L,3.9,1.85
1302,2018-10-20,Chelsea,Manchester United,L,4.8,1.75
1416,2018-10-20,Manchester City,Burnley,W,1.08,23.0
1893,2018-10-20,Newcastle United,Brighton & Hove Albion,W,2.2,3.5
2137,2018-10-20,Cardiff City,Fulham,W,2.8,2.4
229,2018-10-20,AFC Bournemouth,Southampton,L,3.6,2.0
359,2018-10-20,Huddersfield Town,Liverpool,W,1.33,11.0
492,2018-10-20,Wolverhampton Wanderers,Watford,W,1.75,4.8
846,2018-10-20,West Ham United,Tottenham Hotspur,L,3.9,1.85
1302,2018-10-20,Chelsea,Manchester United,L,4.75,1.7
1416,2018-10-20,Manchester City,Burnley,W,1.08,23.0
1893,2018-10-20,Newcastle United,Brighton & Hove Albion,W,2.15,3.6
2137,2018-10-20,Cardiff City,Fulham,W,2.88,2.4
229,2018-10-20,AFC Bournemouth,Southampton,W,2.0,3.6
359,2018-10-20,Huddersfield Town,Liverpool,L,10.0,1.33
492,2018-10-20,Wolverhampton Wanderers,Watford,W,1.73,4.8
846,2018-10-20,West Ham United,Tottenham Hotspur,L,3.9,1.85
1302,2018-10-20,Chelsea,Manchester United,W,1.7,4.8
1416,2018-10-20,Manchester City,Burnley,W,1.07,26.0
1893,2018-10-20,Newcastle United,Brighton & Hove Albion,W,2.15,3.6
2137,2018-10-20,Cardiff City,Fulham,D,2.4,2.9
1775,2018-10-21,Everton,Crystal Palace,W,1.85,4.33
229,2018-10-20,AFC Bournemouth,Southampton,W,2.0,3.6
359,2018-10-20,Huddersfield Town,Liverpool,L,10.0,1.33
492,2018-10-20,Wolverhampton Wanderers,Watford,W,1.73,4.8
846,2018-10-20,West Ham United,Tottenham Hotspur,L,3.9,1.85
1302,2018-10-20,Chelsea,Manchester United,W,1.7,4.8
1416,2018-10-20,Manchester City,Burnley,W,1.07,26.0
1893,2018-10-20,Newcastle United,Brighton & Hove Albion,W,2.15,3.6
2137,2018-10-20,Cardiff City,Fulham,D,2.4,2.9
1074,2018-10-22,Arsenal,Leicester City,W,1.5,5.75
121,2018-10-20,Nottingham Forest,Norwich City,W,2.25,3.1
259,2018-10-20,Reading,Millwall,L,2.63,2.63
398,2018-10-20,Ipswich Town,Queens Park Rangers,L,2.7,2.63
672,2018-10-20,Rotherham United,Bolton Wanderers,W,2.15,3.4
811,2018-10-20,Sheffield Wednesday,Middlesbrough,L,3.4,2.2
1086,2018-10-20,Wigan Athletic,West Bromwich Albion,L,3.0,2.2
1213,2018-10-20,Hull City,Preston North End,L,2.63,2.63
1340,2018-10-20,Aston Villa,Swansea City,W,1.91,4.0
1458,2018-10-20,Stoke City,Birmingham City,W,1.95,4.0
121,2018-10-20,Nottingham Forest,Norwich City,W,2.25,3.1
259,2018-10-20,Reading,Millwall,L,2.63,2.63
398,2018-10-20,Ipswich Town,Queens Park Rangers,L,2.7,2.63
672,2018-10-20,Rotherham United,Bolton Wanderers,W,2.15,3.4
811,2018-10-20,Sheffield Wednesday,Middlesbrough,L,3.4,2.2
1086,2018-10-20,Wigan Athletic,West Bromwich Albion,L,3.0,2.2
1213,2018-10-20,Hull City,Preston North End,L,2.63,2.63
1340,2018-10-20,Aston Villa,Swansea City,W,1.91,4.0
1458,2018-10-20,Stoke City,Birmingham City,W,1.95,4.0
121,2018-10-20,Nottingham Forest,Norwich City,W,2.25,3.1
259,2018-10-20,Reading,Millwall,L,2.63,2.63
398,2018-10-20,Ipswich Town,Queens Park Rangers,L,2.7,2.63
672,2018-10-20,Rotherham United,Bolton Wanderers,W,2.15,3.4
811,2018-10-20,Sheffield Wednesday,Middlesbrough,L,3.4,2.2
1086,2018-10-20,Wigan Athletic,West Bromwich Albion,L,3.0,2.2
1213,2018-10-20,Hull City,Preston North End,L,2.63,2.63
1340,2018-10-20,Aston Villa,Swansea City,W,1.91,4.0
1458,2018-10-20,Stoke City,Birmingham City,W,1.95,4.0
229,2018-10-20,AFC Bournemouth,Southampton,W,2.0,3.6
359,2018-10-20,Huddersfield Town,Liverpool,L,11.0,1.3
492,2018-10-20,Wolverhampton Wanderers,Watford,W,1.73,4.8
846,2018-10-20,West Ham United,Tottenham Hotspur,L,3.9,1.85
1302,2018-10-20,Chelsea,Manchester United,W,1.7,4.8
1416,2018-10-20,Manchester City,Burnley,W,1.07,23.0
1893,2018-10-20,Newcastle United,Brighton & Hove Albion,W,2.15,3.6
2137,2018-10-20,Cardiff City,Fulham,W,2.4,2.8
229,2018-10-20,AFC Bournemouth,Southampton,W,2.0,3.6,3.6
359,2018-10-20,Huddersfield Town,Liverpool,L,11.0,5.0,1.3
492,2018-10-20,Wolverhampton Wanderers,Watford,W,1.73,3.5,4.8
846,2018-10-20,West Ham United,Tottenham Hotspur,L,3.9,3.8,1.85
1302,2018-10-20,Chelsea,Manchester United,W,1.7,3.8,4.8
1416,2018-10-20,Manchester City,Burnley,W,1.07,11.0,23.0
1893,2018-10-20,Newcastle United,Brighton & Hove Albion,W,2.15,3.1,3.6
2137,2018-10-20,Cardiff City,Fulham,W,2.4,3.5,2.8
